1.2800000e+02_C_   1.7900000e+02_C
 -1.9299636   26.1697128
 -1.4394653   26.1697128
 -0.4539564   26.1697128
  0.5385604   26.1697128
  1.7798477   26.1697128
  2.9026836   26.1697128
  3.7199685   26.1697128
  4.6267751  -25.8302872
  5.0887931  -25.8302872
  4.3433913  -25.8302872
  2.4924090  -25.8302872
  0.0781336  -25.8302872
 -2.3779398  -25.8302872
 -4.3649091  -25.8302872
 -5.8676700  -25.8302872
 -7.3689267   26.1697128
 -8.3790170   26.1697128
 -7.9128580  -25.8302872
 -6.4493500  -25.8302872
 -5.4584926  -25.8302872
 -5.4440508  -25.8302872
 -6.1722927  -25.8302872
 -7.0337320  -25.8302872
 -7.9630353   26.1697128
 -8.6817153   26.1697128
 -8.0670828   26.1697128
 -6.2827275   26.1697128
 -4.1475985   26.1697128
 -1.8337503   26.1697128
  0.3259554   26.1697128
  1.9167255   26.1697128
  3.2176228  -25.8302872
  4.3708300  -25.8302872
  4.4679891   26.1697128
  3.0462916   26.1697128
  2.0767367  -25.8302872
  2.3183485  -25.8302872
  2.1962498  -25.8302872
  0.9080404  -25.8302872
 -0.9743022   26.1697128
 -2.6689558   26.1697128
 -3.2871818   26.1697128
 -2.3761680   26.1697128
 -0.6860064  -25.8302872
  0.9107309  -25.8302872
  1.2338686  -25.8302872
  0.1725072  -25.8302872
 -1.5942564   26.1697128
 -3.2300225   26.1697128
 -3.3278453  -25.8302872
 -2.1516860  -25.8302872
 -1.5524328  -25.8302872
 -2.4731134  -25.8302872
 -3.9230001   26.1697128
 -4.6617174   26.1697128
 -4.3024938  -25.8302872
 -3.1386694  -25.8302872
 -2.3005009  -25.8302872
 -2.6090540  -25.8302872
 -3.7470619  -25.8302872
 -5.0624768  -25.8302872
 -6.4682808  -25.8302872
 -7.4297379  -25.8302872
 -7.9196003   26.1697128
 -8.4143852   26.1697128
 -7.9308781  -25.8302872
 -6.2133312  -25.8302872
 -5.0930411   26.1697128
 -5.0126533   26.1697128
 -4.2360957   26.1697128
 -2.6144396   26.1697128
 -0.8074058   26.1697128
  1.0940779   26.1697128
  2.7984839   26.1697128
  4.1572787   26.1697128
  5.3399847  -25.8302872
  6.1877734  -25.8302872
  5.6389217  -25.8302872
  3.8880818  -25.8302872
  1.7700288  -25.8302872
 -0.7803191  -25.8302872
 -3.0605214   26.1697128
 -4.4674845   26.1697128
 -4.4487322   26.1697128
 -3.2131779   26.1697128
 -1.6028629  -25.8302872
 -0.0468075  -25.8302872
  0.5008028  -25.8302872
 -0.2009898  -25.8302872
 -1.5393531   26.1697128
 -2.9568492   26.1697128
 -3.4338635   26.1697128
 -2.4509023   26.1697128
 -0.7240835   26.1697128
  0.8913306   26.1697128
  2.4499841   26.1697128
  3.9797181   26.1697128
  5.2495175  -25.8302872
  6.1416804  -25.8302872
  5.8606373   26.1697128
  4.2462459   26.1697128
  2.9333135   26.1697128
  2.9999744   26.1697128
  3.7695381  -25.8302872
  4.6520308  -25.8302872
  4.3660609   26.1697128
  2.7491592   26.1697128
  1.6801478   26.1697128
  1.8710865   26.1697128
  2.7039697   26.1697128
  3.8639238   26.1697128
  5.1905203  -25.8302872
  6.1116213  -25.8302872
  5.8453222   26.1697128
  4.2384428   26.1697128
  3.1745378  -25.8302872
  3.3680782  -25.8302872
  2.9762870   26.1697128
  1.5506694   26.1697128
  0.8243172  -25.8302872
  1.1898408  -25.8302872
  1.1308751  -25.8302872
  0.1200320  -25.8302872
 -1.6209925  -25.8302872
 -3.4888445  -25.8302872
 -4.9309151   26.1697128
 -6.1560501   26.1697128
 -6.0446563  -25.8302872
 -4.5167012  -25.8302872
 -3.4930081   26.1697128
 -3.4618365   26.1697128
 -3.2007545  -25.8302872
 -2.0869332  -25.8302872
 -1.5194413  -25.8302872
 -2.2111042  -25.8302872
 -3.2991064  -25.8302872
 -4.5890435  -25.8302872
 -5.9818665  -25.8302872
 -7.1819098  -25.8302872
 -8.0385319   26.1697128
 -8.4749808   26.1697128
 -7.9617516   26.1697128
 -6.2290612   26.1697128
 -3.8750555  -25.8302872
 -1.6948896  -25.8302872
 -0.8292951   26.1697128
 -1.1238747   26.1697128
 -1.0287630   26.1697128
 4.9644189E-04   26.1697128
  1.2605041  -25.8302872
  2.3928780  -25.8302872
  2.4794225   26.1697128
  1.5427170   26.1697128
  1.0654655  -25.8302872
  1.3127058  -25.8302872
  1.4386748  -25.8302872
  0.5220560  -25.8302872
 -1.1709613  -25.8302872
 -3.0143536  -25.8302872
 -4.6891620   26.1697128
 -6.0328769   26.1697128
 -5.9818996   26.1697128
 -4.2395267   26.1697128
 -2.1257877  -25.8302872
 -0.3132376  -25.8302872
  0.3650566  -25.8302872
 -0.5153525  -25.8302872
 -1.9447209  -25.8302872
 -3.4085841  -25.8302872
 -4.8900224   26.1697128
 -5.8900153   26.1697128
 -5.6639116   26.1697128
 -4.0775118   26.1697128
 -2.0432411   26.1697128
 -0.0259802   26.1697128
  1.9826143   26.1697128
  3.4963932   26.1697128
  4.5128635   26.1697128
  5.5211551   26.1697128
  6.5252797   26.1697128
  7.2820812   26.1697128
  7.9128715  -25.8302872
  8.4794592  -25.8302872
  7.5421356  -25.8302872
  5.1029693  -25.8302872
  2.3890140  -25.8302872
 -0.2197462  -25.8302872
 -2.2845095   26.1697128
 -3.8269064   26.1697128
 -4.1223576  -25.8302872
 -2.8016900  -25.8302872
 -1.8836099  -25.8302872
 -2.3966481  -25.8302872
 -3.6388410  -25.8302872
 -5.0073383  -25.8302872
 -6.1949877   26.1697128
 -7.0452951   26.1697128
 -6.4977267  -25.8302872
 -4.7475406  -25.8302872
 -3.8558207   26.1697128
 -3.8918895   26.1697128
 -3.4198665   26.1697128
 -2.1985708   26.1697128
 -0.5955207  -25.8302872
  1.2020334  -25.8302872
  1.8726872  -25.8302872
  0.7431853  -25.8302872
 -1.0582959  -25.8302872
 -2.7117506  -25.8302872
 -4.2897858  -25.8302872
 -5.8293947  -25.8302872
 -6.8590254   26.1697128
 -7.3836223   26.1697128
 -6.9153044  -25.8302872
 -5.4506964  -25.8302872
 -4.4592786   26.1697128
 -4.4445513   26.1697128
 -3.9466477  -25.8302872
 -2.4669658  -25.8302872
 -1.7130679   26.1697128
 -2.0645569   26.1697128
 -1.9984406   26.1697128
 -0.9839543   26.1697128
  0.5137265  -25.8302872
  2.0123948  -25.8302872
  2.2855663   26.1697128
  1.1987472   26.1697128
  0.6450129  -25.8302872
  1.0984852  -25.8302872
  1.0843294   26.1697128
  0.0963170   26.1697128
 -0.4070753   26.1697128
  0.3172463   26.1697128
  1.6670882   26.1697128
  3.0904326   26.1697128
  4.3060266   26.1697128
  5.4157717   26.1697128
  6.4715869   26.1697128
  7.2547247   26.1697128
  7.8989334   26.1697128
  8.4723577   26.1697128
  9.0097174  -25.8302872
  9.2835022  -25.8302872
  8.1969956   26.1697128
  5.9270204   26.1697128
  4.2800681  -25.8302872
  3.9313459  -25.8302872
  3.5084719   26.1697128
  2.0670176   26.1697128
  1.0873966  -25.8302872
  1.3238798  -25.8302872
  1.1991679   26.1697128
  0.4000272   26.1697128
 -0.0071350  -25.8302872
  0.5210159  -25.8302872
  0.7901088   26.1697128
 -0.0535884   26.1697128
 -0.4834521  -25.8302872
  0.2783323  -25.8302872
  0.6664615  -25.8302872
 -0.1165867  -25.8302872
 -1.4963497  -25.8302872
 -3.1801390  -25.8302872
 -4.7736297  -25.8302872
 -6.0759131  -25.8302872
 -7.2298266  -25.8302872
 -8.3081455  -25.8302872
 -9.1027489   26.1697128
 -9.2623994   26.1697128
 -8.3629413  -25.8302872
 -6.4334674  -25.8302872
 -4.9600005   26.1697128
 -4.6996691   26.1697128
 -4.0766302  -25.8302872
 -2.5331919  -25.8302872
 -1.7468101  -25.8302872
 -2.3269486  -25.8302872
 -3.3581291   26.1697128
 -4.3739156   26.1697128
 -4.4010588  -25.8302872
 -3.1888883  -25.8302872
 -2.3260874   26.1697128
 -2.6220904   26.1697128
 -2.5277039   26.1697128
 -1.2536139   26.1697128
  0.3763349   26.1697128
  2.1875938   26.1697128
  3.8460302   26.1697128
  5.1814036   26.1697128
  6.3521763   26.1697128
  7.4390850   26.1697128
  8.2380650  -25.8302872
  8.6451453  -25.8302872
  7.8717527  -25.8302872
