1.2800000e+02_C_   1.7900000e+02_C
-10.2615613   26.1697128
-10.0980143   26.1697128
 -9.2790871   26.1697128
 -7.1454437   26.1697128
 -4.3419524   26.1697128
 -1.6875736   26.1697128
  0.6456324   26.1697128
  2.5700009   26.1697128
  4.0408666  -25.8302872
  5.2806727  -25.8302872
  5.1767539  -25.8302872
  3.6526073  -25.8302872
  1.6500546  -25.8302872
 -0.5962460  -25.8302872
 -2.7215362  -25.8302872
 -4.5399715  -25.8302872
 -5.7116643   26.1697128
 -6.3086418   26.1697128
 -6.1224018  -25.8302872
 -4.8015126  -25.8302872
 -3.6381195  -25.8302872
 -3.7809707  -25.8302872
 -4.8345534  -25.8302872
 -5.8617538  -25.8302872
 -6.6303124   26.1697128
 -7.2670930   26.1697128
 -6.6107327   26.1697128
 -4.8051171   26.1697128
 -2.9043560   26.1697128
 -0.7099182   26.1697128
  1.6341478   26.1697128
  3.5640495   26.1697128
  5.0377344  -25.8302872
  6.0337769  -25.8302872
  5.8056605   26.1697128
  4.2182352   26.1697128
  3.1642420  -25.8302872
  3.3628325  -25.8302872
  2.9736143  -25.8302872
  1.5493077  -25.8302872
 -0.1571766   26.1697128
 -1.7622303   26.1697128
 -2.3348052   26.1697128
 -1.4005321   26.1697128
  0.3014801  -25.8302872
  1.9042553  -25.8302872
  2.2304692  -25.8302872
  1.1706753  -25.8302872
 -0.3500898   26.1697128
 -1.8605196   26.1697128
 -2.1396835  -25.8302872
 -1.3011176  -25.8302872
 -1.1190682  -25.8302872
 -2.0071141  -25.8302872
 -3.1951735   26.1697128
 -4.2908897   26.1697128
 -4.3587571  -25.8302872
 -2.9221356  -25.8302872
 -1.9449769  -25.8302872
 -2.4279146  -25.8302872
 -3.6547713  -25.8302872
 -5.0154548  -25.8302872
 -6.1991230  -25.8302872
 -7.2926020  -25.8302872
 -8.0949296   26.1697128
 -8.2585154   26.1697128
 -7.3610624  -25.8302872
 -5.4326101  -25.8302872
 -3.9596637   26.1697128
 -3.6995975   26.1697128
 -3.0766937   26.1697128
 -1.5333243   26.1697128
  0.2338225   26.1697128
  2.1149837   26.1697128
  3.8090354   26.1697128
  5.1625547   26.1697128
  6.3425728  -25.8302872
  7.1889920  -25.8302872
  6.8846426  -25.8302872
  5.0131766  -25.8302872
  2.3432646  -25.8302872
 -0.2430555  -25.8302872
 -2.2963856   26.1697128
 -3.5877573   26.1697128
 -3.7553112   26.1697128
 -2.6146799   26.1697128
 -0.8075282  -25.8302872
  0.8488155  -25.8302872
  1.4475227  -25.8302872
  0.7717640  -25.8302872
 -0.5533351   26.1697128
 -1.9640730   26.1697128
 -2.4376440   26.1697128
 -1.4529285   26.1697128
  0.2747841   26.1697128
  2.1358537   26.1697128
  3.8196686   26.1697128
  5.1679723   26.1697128
  6.3453331  -25.8302872
  7.1903984  -25.8302872
  6.8853591   26.1697128
  5.2587417   26.1697128
  3.9395801   26.1697128
  4.0030672   26.1697128
  5.0162139  -25.8302872
  6.0228122  -25.8302872
  5.8000740   26.1697128
  4.4605889   26.1697128
  3.7781212   26.1697128
  4.1660039   26.1697128
  5.0992302   26.1697128
  6.3103089   26.1697128
  7.4177536  -25.8302872
  8.2271966  -25.8302872
  7.6588079   26.1697128
  5.8980138   26.1697128
  4.7556892  -25.8302872
  4.6640748  -25.8302872
  4.3721973   26.1697128
  3.2426857   26.1697128
